stt	id	x	y	w	h	t	d	l	r
0	703	69	258	32	32	0	0	0	1
1	703	188	252	32	32	1	0	1	0
2	703	180	332	32	32	0	1	0	1
3	703	256	324	32	32	0	0	1	1
4	703	320	329	32	32	0	0	0	0
5	703	427	331	32	32	0	0	0	0
6	703	505	323	32	32	0	0	0	0
7	703	331	254	32	32	0	0	0	0
8	703	393	261	32	32	0	0	0	0
9	703	498	259	32	32	0	0	0	0
10	703	318	191	32	32	0	0	0	0
11	703	250	188	32	32	0	0	0	0
12	703	187	181	32	32	0	0	0	0
13	703	187	112	32	32	0	0	0	0
14	703	179	45	32	32	0	0	0	0
15	703	297	38	32	32	0	0	0	0
16	703	391	47	32	32	0	0	0	0
17	703	400	113	32	32	0	0	0	0
18	703	288	111	32	32	0	0	0	0
19	703	473	111	32	32	0	0	0	0
20	703	536	112	32	32	0	0	0	0
